t	CO	PV
373	100	43.66812227074236
374	100	43.8136826783115
375	100	43.37700145560407
376	100	43.8136826783115
377	100	43.37700145560407
378	100	44.25036390101892
379	100	43.8136826783115
380	100	44.25036390101892
381	100	43.8136826783115
382	100	44.10480349344978
383	100	44.68704512372635
384	100	44.10480349344978
385	100	44.25036390101892
386	100	44.68704512372635
387	100	44.832605531295485
388	100	44.25036390101892
389	100	44.395924308588064
390	100	44.832605531295485
391	100	44.395924308588064
392	100	44.54148471615721
393	100	45.12372634643377
394	100	44.54148471615721
395	100	45.12372634643377
396	100	44.68704512372635
397	100	45.26928675400291
398	100	44.68704512372635
399	100	45.26928675400291
400	100	44.97816593886463
401	100	45.56040756914119
402	100	44.97816593886463
403	100	45.56040756914119
404	100	45.12372634643377
405	100	45.70596797671033
406	100	45.12372634643377
407	100	45.70596797671033
408	100	45.85152838427948
409	100	45.414847161572055
410	100	45.85152838427948
411	100	45.414847161572055
412	100	46.14264919941776
413	100	45.70596797671033
414	100	45.70596797671033
415	100	46.14264919941776
416	100	45.85152838427948
417	100	46.2882096069869
418	100	46.2882096069869
419	100	45.85152838427948
420	100	46.43377001455604
421	100	45.99708879184862
422	100	46.43377001455604
423	100	45.99708879184862
424	100	46.72489082969432
425	100	46.2882096069869
426	100	46.72489082969432
427	100	46.2882096069869
428	100	46.43377001455604
429	100	46.43377001455604
430	100	47.16157205240175
431	100	47.16157205240175
432	100	47.45269286754003
433	100	47.0160116448326
434	100	47.45269286754003
435	100	47.0160116448326
436	100	47.59825327510917
437	100	47.16157205240175
438	100	47.59825327510917
439	100	47.74381368267832
440	100	47.16157205240175
441	100	47.74381368267832
442	100	47.88937409024745
443	100	47.45269286754003
444	100	47.88937409024745
445	100	48.03493449781659
446	100	47.45269286754003
447	100	48.03493449781659
448	100	48.180494905385736
449	100	47.74381368267832
450	100	48.180494905385736
451	100	47.74381368267832
452	100	48.47161572052402
453	100	48.03493449781659
454	100	48.47161572052402
455	100	48.03493449781659
456	100	48.61717612809316
457	100	48.180494905385736
458	100	48.61717612809316
459	100	48.180494905385736
460	100	48.90829694323144
461	100	48.47161572052402
462	100	48.90829694323144
463	100	48.47161572052402
464	100	49.05385735080058
465	100	48.61717612809316
466	100	49.05385735080058
467	100	48.61717612809316
468	100	49.19941775836973
469	100	48.7627365356623
470	100	48.7627365356623
471	100	49.19941775836973
472	100	48.90829694323144
473	100	49.34497816593886
474	100	49.34497816593886
475	100	48.90829694323144
476	100	49.19941775836973
477	100	49.78165938864629
478	100	49.19941775836973
479	100	49.78165938864629
480	100	49.34497816593886
481	100	49.92721979621543
482	100	49.34497816593886
483	100	49.92721979621543
484	100	50.07278020378457
485	100	49.63609898107715
486	100	50.07278020378457
487	100	49.63609898107715
488	100	50.21834061135371
489	100	49.78165938864629
490	100	50.21834061135371
491	100	49.78165938864629
492	100	50.07278020378457
493	100	50.65502183406114
494	100	50.07278020378457
495	100	50.65502183406114
496	100	50.36390101892285
497	100	50.946142649199416
498	100	50.946142649199416
499	100	50.36390101892285
500	100	51.09170305676856
501	100	50.65502183406114
502	100	51.09170305676856
503	100	50.65502183406114
504	100	51.2372634643377
505	100	50.80058224163027
506	100	51.2372634643377
507	100	50.80058224163027
508	100	50.946142649199416
509	100	51.52838427947598
510	100	50.946142649199416
511	100	51.52838427947598
512	100	51.09170305676856
513	100	51.67394468704512
514	100	51.09170305676856
515	100	51.67394468704512
516	100	51.81950509461426
517	100	51.38282387190685
518	100	51.81950509461426
519	100	51.38282387190685
520	100	51.96506550218341
521	100	51.52838427947598
522	100	51.96506550218341
523	100	51.52838427947598
524	100	52.256186317321685
525	100	51.81950509461426
526	100	52.256186317321685
527	100	51.81950509461426
528	100	52.54730713245997
529	100	52.11062590975255
530	100	52.54730713245997
531	100	52.11062590975255
532	100	52.256186317321685
533	100	52.838427947598255
534	100	52.256186317321685
535	100	52.838427947598255
536	100	52.40174672489083
537	100	52.9839883551674
538	100	52.40174672489083
539	100	52.9839883551674
540	100	53.12954876273653
541	100	52.69286754002911
542	100	53.12954876273653
543	100	52.69286754002911
544	100	52.838427947598255
545	100	53.42066957787482
546	100	52.838427947598255
547	100	53.42066957787482
548	100	53.12954876273653
549	100	53.12954876273653
550	100	54.00291120815138
551	100	53.42066957787482
552	100	54.00291120815138
553	100	53.42066957787482
554	100	54.14847161572053
555	100	53.56622998544396
556	100	53.56622998544396
557	100	54.14847161572053
558	100	54.29403202328967
559	100	53.85735080058224
560	100	54.29403202328967
561	100	53.85735080058224
562	100	54.43959243085881
563	100	54.00291120815138
564	100	54.43959243085881
565	100	54.00291120815138
566	100	54.14847161572053
567	100	54.73071324599709
568	100	54.14847161572053
569	100	54.73071324599709
570	100	54.87627365356623
571	100	54.43959243085881
572	100	54.87627365356623
573	100	54.43959243085881
574	100	55.02183406113537
575	100	54.585152838427945
576	100	55.02183406113537
577	100	54.585152838427945
578	100	55.16739446870452
579	100	55.16739446870452
580	100	54.87627365356623
581	100	54.87627365356623
582	100	55.45851528384279
583	100	55.02183406113537
584	100	55.45851528384279
585	100	55.02183406113537
586	100	55.74963609898108
587	100	55.31295487627365
588	100	55.74963609898108
589	100	55.31295487627365
590	100	55.45851528384279
591	100	56.04075691411936
592	100	55.45851528384279
593	100	56.04075691411936
594	100	56.1863173216885
595	100	55.74963609898108
596	100	56.1863173216885
597	100	55.74963609898108
598	100	55.89519650655022
599	100	56.477438136826784
600	100	55.89519650655022
601	100	56.477438136826784
602	100	56.62299854439593
603	100	56.1863173216885
604	100	56.62299854439593
605	100	56.76855895196506
606	100	56.1863173216885
607	100	56.76855895196506
608	100	56.33187772925764
609	100	56.914119359534205
610	100	56.33187772925764
611	100	56.914119359534205
612	100	56.76855895196506
613	100	57.35080058224163
614	100	56.76855895196506
615	100	57.35080058224163
616	100	57.496360989810775
617	100	57.05967976710335
618	100	57.496360989810775
619	100	57.05967976710335
620	100	57.78748180494905
621	100	57.35080058224163
622	100	57.78748180494905
623	100	57.35080058224163
